,precision,recall,f1-score,support
0,0.9227313566936208,0.8067556952081697,0.8608549874266554,1273.0
1,0.4948665297741273,0.7370030581039755,0.5921375921375922,327.0
accuracy,0.7925,0.7925,0.7925,0.7925
macro avg,0.708798943233874,0.7718793766560725,0.7264962897821239,1600.0
weighted avg,0.8352864826919493,0.7925,0.8059358697644531,1600.0
