,precision,recall,f1-score,support
0,0.8891385767790262,0.9324430479183032,0.9102760736196318,1273.0
1,0.6754716981132075,0.5474006116207951,0.6047297297297297,327.0
accuracy,0.85375,0.85375,0.85375,0.85375
macro avg,0.7823051374461168,0.7399218297695491,0.7575029016746808,1600.0
weighted avg,0.8454704084516996,0.85375,0.8478300395871331,1600.0
