,precision,recall,f1-score,support
0,0.8952380952380953,0.9359054138145613,0.9151201703681169,1607.0
1,0.678125,0.5521628498727735,0.608695652173913,393.0
accuracy,0.8605,0.8605,0.8605,0.8605
macro avg,0.7866815476190476,0.7440341318436674,0.761907911271015,2000.0
weighted avg,0.8525753720238096,0.8605,0.8549077525429558,2000.0
