iter	Logloss
0	0.6852853594
1	0.678673069
2	0.6735906671
3	0.6670220368
4	0.6601349397
5	0.6525681396
6	0.646006489
7	0.6396104205
8	0.6335606633
9	0.6279740902
10	0.6229470803
11	0.6176911885
12	0.6132382581
13	0.6087923816
14	0.6041457276
15	0.5997566167
16	0.5955079536
17	0.5915105221
18	0.5875377423
19	0.5833737264
20	0.5797244627
21	0.5758025455
22	0.5725374616
23	0.5704196457
24	0.5674426225
25	0.564136997
26	0.5611439355
27	0.5586729026
28	0.5555499372
29	0.5528536237
30	0.5504379829
31	0.5483230257
32	0.5465075268
33	0.5441601236
34	0.5419452602
35	0.5394131923
36	0.5373700367
37	0.5348520395
38	0.5337371084
39	0.532133005
40	0.530264156
41	0.5280822977
42	0.5264472312
43	0.5246015488
44	0.5229641434
45	0.5212257181
46	0.5192319401
47	0.5177486076
48	0.5164191996
49	0.5149973477
50	0.5136682367
51	0.5116388548
52	0.5101097831
53	0.5088812093
54	0.5078492919
55	0.5067156864
56	0.5059022555
57	0.5044567544
58	0.5033540749
59	0.5021038566
60	0.5010425725
61	0.4998991658
62	0.4987337061
63	0.49791931
64	0.4970196726
65	0.4957379343
66	0.4945992797
67	0.493975637
68	0.4927918371
69	0.4918072554
70	0.4913079478
71	0.4903898216
72	0.4895650673
73	0.4889425384
74	0.4882710775
75	0.4873444495
76	0.4866540542
77	0.4855204116
78	0.4850158691
79	0.4841574787
80	0.4834060855
81	0.4826946027
82	0.4822037226
83	0.4815211609
84	0.4808079332
85	0.4801833995
86	0.4793855616
87	0.4787420565
88	0.4779895495
89	0.4773490145
90	0.4766115435
91	0.476085208
92	0.4751684184
93	0.4746259332
94	0.4741214279
95	0.4732836795
96	0.4727764269
97	0.4719206353
98	0.4714330223
99	0.4708286852
100	0.4700216029
101	0.4692964206
102	0.4690766346
103	0.4683951496
104	0.4677971981
105	0.4672007317
106	0.4667947217
107	0.4664563553
108	0.4661473184
109	0.4656363531
110	0.4650934224
111	0.4645568402
112	0.4642604262
113	0.4637709569
114	0.4634172945
115	0.4628964909
116	0.4624938965
117	0.4622399175
118	0.4617104635
119	0.4611786705
120	0.4609936345
121	0.4607205356
122	0.4601005313
123	0.4596745475
124	0.4592867663
125	0.4588616364
126	0.4584063973
127	0.4578719313
128	0.4574459475
129	0.4569656112
130	0.4567296754
131	0.456461737
132	0.4559907565
133	0.4556081359
134	0.4551731676
135	0.454876308
136	0.4545210864
137	0.4541657905
138	0.4537258473
139	0.4531068083
140	0.4528063475
141	0.4523690774
142	0.4518103681
143	0.4512767931
144	0.4508482105
145	0.450544891
146	0.4501950526
147	0.4498028163
148	0.4495162778
149	0.4490293331
150	0.4486960901
151	0.4484142665
152	0.4478881539
153	0.447574402
154	0.4472319888
155	0.4468464352
156	0.4464261317
157	0.4462014451
158	0.4458814189
159	0.4454717334
160	0.4451259047
161	0.444668141
162	0.4444301633
163	0.4441288486
164	0.4438972566
165	0.4438247866
166	0.4434797004
167	0.4431790911
168	0.44295485
169	0.4426767762
170	0.4424549855
171	0.4421172873
172	0.4417426859
173	0.4414704409
174	0.4411144767
175	0.4407546143
176	0.4404733477
177	0.4402703056
178	0.4399930857
179	0.4397255556
180	0.4395615329
181	0.439286355
182	0.438791391
183	0.4385231928
184	0.4382673203
185	0.4378860362
186	0.4376054007
187	0.4372218148
188	0.4369073575
189	0.4365702163
190	0.4363012012
191	0.4361046561
192	0.4358747719
193	0.4355638787
194	0.4352391747
195	0.4348848812
196	0.4345870935
197	0.4343924789
198	0.4342401138
199	0.4338982575
200	0.4336328066
201	0.4331711818
202	0.4327452722
203	0.432419046
204	0.4321092666
205	0.4318367246
206	0.4315397165
207	0.4313769932
208	0.4310120074
209	0.43084895
210	0.4306749775
211	0.4303252134
212	0.4299056524
213	0.4294733943
214	0.4293061417
215	0.4290984588
216	0.4287540408
217	0.4286392101
218	0.4284504614
219	0.4280892254
220	0.4278410009
221	0.4275353053
222	0.4271785244
223	0.4268640671
224	0.4265760436
225	0.4264707542
226	0.4261878169
227	0.42590087
228	0.4256835343
229	0.4254988325
230	0.425053803
231	0.4249196296
232	0.4247749867
233	0.4245239035
234	0.4243397585
235	0.4240806561
236	0.4238828859
237	0.4237160787
238	0.4234895358
239	0.423211165
240	0.4230186295
241	0.4228906191
242	0.4227534756
243	0.4227070681
244	0.4225903439
245	0.4223111192
246	0.4219714162
247	0.4218141133
248	0.42165462
249	0.4213968913
250	0.4212395513
251	0.4210671752
252	0.4207985685
253	0.4203976448
254	0.4202695229
255	0.4199456356
256	0.4197700296
257	0.419683823
258	0.4195637947
259	0.4193559633
260	0.419176756
261	0.4190645984
262	0.4187754981
263	0.4186477476
264	0.4183576449
265	0.4180901149
266	0.4179741333
267	0.4177039302
268	0.4175338188
269	0.4173988658
270	0.4172204382
271	0.4169167475
272	0.4166564941
273	0.4164131332
274	0.4162785514
275	0.4159435634
276	0.4157013905
277	0.4155036202
278	0.4152491957
279	0.4149276474
280	0.4147721265
281	0.4146056164
282	0.4143717225
283	0.4141877631
284	0.4139188595
285	0.4137069442
286	0.4134284992
287	0.4131340899
288	0.4128760271
289	0.412623793
290	0.4123985866
291	0.4121582328
292	0.4119828496
293	0.4117721223
294	0.4115646622
295	0.4112612685
296	0.4109671191
297	0.4108241097
298	0.4106093358
299	0.4105222382
300	0.4104040661
301	0.4101103251
302	0.4098486239
303	0.4096618058
304	0.4093912315
305	0.4090767742
306	0.4088012621
307	0.4086423999
308	0.4085152062
309	0.4082805699
310	0.4080843218
311	0.4078678029
312	0.4074725594
313	0.4072417099
314	0.4069661978
315	0.4067649006
316	0.4066335859
317	0.4065197204
318	0.4063301551
319	0.4062006224
320	0.4060099061
321	0.4058560188
322	0.4056865386
323	0.4054015965
324	0.4051783949
325	0.4049905373
326	0.4047682639
327	0.4046282246
328	0.4044044662
329	0.4042215092
330	0.4039756608
331	0.4037454424
332	0.4035670891
333	0.4034349576
334	0.4032148375
335	0.4030064121
336	0.4029007886
337	0.402619225
338	0.4024501903
339	0.4023355823
340	0.4021560038
341	0.4019856697
342	0.4018635622
343	0.4015879759
344	0.4013742414
345	0.401181409
346	0.4009633308
347	0.4008722978
348	0.4007338178
349	0.4005473339
350	0.4002931321
351	0.4001217213
352	0.3999067246
353	0.3997473055
354	0.3995108129
355	0.3992806316
356	0.3990142897
357	0.3988846456
358	0.3986105072
359	0.3984639337
360	0.3983111973
361	0.3980980198
362	0.3977626977
363	0.3975732808
364	0.3972985483
365	0.3971644121
366	0.396989957
367	0.3969024881
368	0.3966002081
369	0.396358852
370	0.3961154167
371	0.3960162903
372	0.3957805773
373	0.3955769411
374	0.3953104135
375	0.3951547442
376	0.3949015448
377	0.3946681336
378	0.3944503153
379	0.3943416846
380	0.3941525647
381	0.393947295
382	0.3938163887
383	0.3936103765
384	0.3933290728
385	0.3931212042
386	0.3929224687
387	0.3927590029
388	0.3926171073
389	0.3924256114
390	0.3922254279
391	0.3921613484
392	0.3920171882
393	0.3918985706
394	0.3917937267
395	0.3915443513
396	0.3913455416
397	0.3911342203
398	0.3910302675
399	0.3907916958
400	0.3906750459
401	0.390464133
402	0.3903051594
403	0.3901530171
404	0.3899907393
405	0.3897604838
406	0.3895597435
407	0.3893592259
408	0.3892418335
409	0.3890062318
410	0.3889250744
411	0.388661554
412	0.3884208289
413	0.3883050329
414	0.3881100843
415	0.3880096955
416	0.387889927
417	0.3877561249
418	0.3875974483
419	0.3874652055
420	0.3873780336
421	0.387156874
422	0.3870398157
423	0.3868102656
424	0.3867394292
425	0.3865752951
426	0.3864821831
427	0.386340436
428	0.3861010846
429	0.385990709
430	0.3858695668
431	0.3857986933
432	0.3855893026
433	0.3854037468
434	0.3852782609
435	0.3851416372
436	0.3849284597
437	0.3847845593
438	0.3845712704
439	0.3844361688
440	0.3842637185
441	0.3841505213
442	0.3838966537
443	0.3836829564
444	0.3835401326
445	0.3834476517
446	0.3833346402
447	0.3832435329
448	0.383128628
449	0.3830606874
450	0.3829757431
451	0.382785398
452	0.3824249045
453	0.3823026857
454	0.3822089796
455	0.3820871692
456	0.3818230176
457	0.3816016724
458	0.3814685385
459	0.3813732732
460	0.3812373178
461	0.3810702507
462	0.3809879795
463	0.3808527666
464	0.3807040027
465	0.3805640005
466	0.3803789273
467	0.380171987
468	0.3799187505
469	0.3798257498
470	0.3796071148
471	0.3794289471
472	0.379302236
473	0.379197949
474	0.3790949244
475	0.379009386
476	0.3789453066
477	0.3788175931
478	0.3785871148
479	0.3783284951
480	0.3781191786
481	0.3780287397
482	0.3777879775
483	0.3776244375
484	0.3775029983
485	0.3773686393
486	0.3771915482
487	0.3770440837
488	0.3768598273
489	0.3767288097
490	0.3766048831
491	0.3764413059
492	0.3762808844
493	0.3761095479
494	0.3760175867
495	0.3759342389
496	0.375665001
497	0.3754651146
498	0.3753971369
499	0.3752272483
500	0.3751470932
501	0.3749921293
502	0.3748211269
503	0.3747155405
504	0.374594584
505	0.3744566238
506	0.3743133916
507	0.3742160101
508	0.3740386592
509	0.3738263727
510	0.3737176677
511	0.3734451257
512	0.3733345273
513	0.3731230576
514	0.3729097315
515	0.3727676132
516	0.3725989868
517	0.3723725925
518	0.3722373053
519	0.3722044859
520	0.3720947414
521	0.3719397775
522	0.3717852961
523	0.3716210507
524	0.3715370345
525	0.371350959
526	0.3712065759
527	0.3710757068
528	0.3709734246
529	0.3707746148
530	0.3705595068
531	0.3704182794
532	0.3701777771
533	0.3699301838
534	0.3698365149
535	0.3695598519
536	0.3693669451
537	0.3691492754
538	0.3689602669
539	0.3688778471
540	0.3688090898
541	0.368606753
542	0.3683851479
543	0.3681901992
544	0.3680105465
545	0.3679119027
546	0.367802975
547	0.3677118677
548	0.3676118503
549	0.3674778254
550	0.3673325884
551	0.3671851982
552	0.3670104089
553	0.3669320731
554	0.3667996075
555	0.3666972882
556	0.36657997
557	0.366470671
558	0.366331003
559	0.3662329161
560	0.3660684479
561	0.3659086575
562	0.3657869585
563	0.3656934381
564	0.3655509856
565	0.3654549777
566	0.3653615687
567	0.3652269498
568	0.3650672708
569	0.3649844798
570	0.3648608131
571	0.3647421213
572	0.3646417325
573	0.364543757
574	0.364345467
575	0.3641915797
576	0.3640509464
577	0.3638633858
578	0.3637674522
