[2025-08-01 19:01:16,782] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 19:01:19,121] 16 utils.logging - INFO - saving raw data...
[2025-08-01 19:01:19,260] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 19:01:19,267] 23 utils.logging - INFO - saving train,validation
[2025-08-01 19:01:19,340] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 19:01:19,345] 81 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 19:01:19,345] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 19:01:19,382] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 19:01:19,390] 44 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 19:01:19,390] 93 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 19:01:19,411] 98 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 19:01:19,479] 113 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 19:01:19,479] 114 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 19:01:19,479] 23 utils.logging - INFO - Training model ....
[2025-08-01 19:01:19,479] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 19:01:19,559] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 19:01:55,279] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 19:01:55,288] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 19:01:55,288] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 19:01:55,327] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 19:01:55,342] 24 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 19:01:55,472] 29 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 19:01:55,603] 32 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 19:01:55,626] 40 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 19:01:55,910] 55 utils.logging - INFO - \u2705 Evaluation complete.
