[2025-08-01 14:48:14,815] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 14:48:16,866] 16 utils.logging - INFO - saving raw data...
[2025-08-01 14:48:16,969] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 14:48:16,979] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 14:48:17,052] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 14:48:17,053] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 14:48:17,053] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 14:48:17,109] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 14:48:17,132] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 14:48:17,132] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 14:48:17,170] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 14:48:17,387] 119 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 14:48:17,387] 120 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 14:48:17,387] 23 utils.logging - INFO - Training model ....
[2025-08-01 14:48:17,389] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 14:48:17,463] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 14:48:44,361] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 14:48:44,372] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 14:48:44,372] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 14:48:44,412] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 14:48:44,432] 29 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 14:48:44,552] 33 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 14:48:44,632] 36 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 14:48:44,668] 44 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 14:48:44,917] 59 utils.logging - INFO - \u2705 Evaluation complete.
