[2025-08-01 16:50:43,449] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 16:50:45,790] 16 utils.logging - INFO - saving raw data...
[2025-08-01 16:50:45,966] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 16:50:45,992] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 16:50:46,099] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 16:50:46,100] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 16:50:46,100] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 16:50:46,162] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 16:50:46,175] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 16:50:46,175] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 16:50:46,217] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 16:50:46,640] 119 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 16:50:46,642] 120 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 16:50:46,642] 23 utils.logging - INFO - Training model ....
[2025-08-01 16:50:46,642] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 16:50:46,730] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 16:51:41,254] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 16:51:41,263] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 16:51:41,264] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 16:51:41,329] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 16:51:41,456] 30 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 16:51:41,687] 35 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 16:51:41,789] 38 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 16:51:41,824] 46 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 16:51:42,071] 61 utils.logging - INFO - \u2705 Evaluation complete.
