[2025-08-01 17:26:41,535] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 17:26:42,892] 16 utils.logging - INFO - saving raw data...
[2025-08-01 17:26:42,937] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 17:26:42,955] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 17:26:43,003] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 17:26:43,003] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 17:26:43,003] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 17:26:43,067] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 17:26:43,076] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 17:26:43,076] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 17:26:43,094] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 17:26:43,129] 112 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 17:26:43,129] 113 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 17:26:43,129] 23 utils.logging - INFO - Training model ....
[2025-08-01 17:26:43,129] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 17:26:43,177] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 17:27:04,953] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 17:27:04,960] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 17:27:04,960] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 17:27:04,998] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 17:27:05,010] 24 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 17:27:05,135] 29 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 17:27:05,254] 32 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 17:27:05,289] 40 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 17:27:05,470] 55 utils.logging - INFO - \u2705 Evaluation complete.
