[2025-08-01 16:58:10,021] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 16:58:11,589] 16 utils.logging - INFO - saving raw data...
[2025-08-01 16:58:11,686] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 16:58:11,693] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 16:58:11,795] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 16:58:11,798] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 16:58:11,798] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 16:58:11,856] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 16:58:11,882] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 16:58:11,882] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 16:58:11,914] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 16:58:12,074] 119 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 16:58:12,078] 120 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 16:58:12,078] 23 utils.logging - INFO - Training model ....
[2025-08-01 16:58:12,078] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 16:58:12,132] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 16:58:38,428] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 16:58:38,434] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 16:58:38,434] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 16:58:38,480] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 16:58:38,498] 30 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 16:58:38,631] 35 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 16:58:38,692] 38 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 16:58:38,722] 46 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 16:58:38,973] 61 utils.logging - INFO - \u2705 Evaluation complete.
