[2025-08-01 14:31:45,779] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 14:31:47,989] 16 utils.logging - INFO - saving raw data...
[2025-08-01 14:31:48,114] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 14:31:48,125] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 14:31:48,181] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 14:31:48,181] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 14:31:48,181] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 14:31:48,226] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 14:31:48,256] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 14:31:48,256] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 14:31:48,315] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 14:31:48,531] 119 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 14:31:48,531] 120 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 14:31:48,531] 23 utils.logging - INFO - Training model ....
[2025-08-01 14:31:48,539] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 14:31:48,611] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 14:32:14,329] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 14:32:14,337] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 14:32:14,337] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 14:32:14,369] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 14:32:14,392] 29 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 14:32:14,462] 33 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 14:32:14,565] 36 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 14:32:14,608] 44 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 14:32:14,884] 59 utils.logging - INFO - \u2705 Evaluation complete.
