[2025-08-01 15:41:41,463] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 15:41:42,712] 16 utils.logging - INFO - saving raw data...
[2025-08-01 15:41:42,792] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 15:41:42,797] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 15:41:42,844] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 15:41:42,844] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 15:41:42,844] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 15:41:42,867] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 15:41:42,879] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 15:41:42,879] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 15:41:42,896] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 15:41:42,986] 119 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 15:41:42,987] 120 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 15:41:42,987] 23 utils.logging - INFO - Training model ....
[2025-08-01 15:41:42,987] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 15:41:43,022] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 15:42:02,062] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 15:42:02,069] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 15:42:02,069] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 15:42:02,096] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 15:42:02,108] 30 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 15:42:02,183] 34 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 15:42:02,236] 37 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 15:42:02,263] 45 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 15:42:02,407] 60 utils.logging - INFO - \u2705 Evaluation complete.
