[2025-08-01 15:39:50,406] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 15:39:52,179] 16 utils.logging - INFO - saving raw data...
[2025-08-01 15:39:52,229] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 15:39:52,242] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 15:39:52,290] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 15:39:52,290] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 15:39:52,290] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 15:39:52,356] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 15:39:52,372] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 15:39:52,372] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 15:39:52,402] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 15:39:52,599] 119 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 15:39:52,600] 120 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 15:39:52,600] 23 utils.logging - INFO - Training model ....
[2025-08-01 15:39:52,600] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 15:39:52,642] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 15:40:18,851] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 15:40:18,860] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 15:40:18,860] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 15:40:18,890] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 15:40:18,906] 31 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 15:40:19,000] 35 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 15:40:19,052] 38 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 15:40:19,069] 46 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 15:40:19,214] 61 utils.logging - INFO - \u2705 Evaluation complete.
