[2025-08-01 17:03:57,300] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 17:03:59,124] 16 utils.logging - INFO - saving raw data...
[2025-08-01 17:03:59,227] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 17:03:59,228] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 17:03:59,334] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 17:03:59,338] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 17:03:59,338] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 17:03:59,391] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 17:03:59,425] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 17:03:59,425] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 17:03:59,459] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 17:03:59,762] 119 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 17:03:59,762] 120 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 17:03:59,766] 23 utils.logging - INFO - Training model ....
[2025-08-01 17:03:59,766] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 17:03:59,811] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 17:04:23,088] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 17:04:23,093] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 17:04:23,093] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 17:04:23,130] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 17:04:23,150] 24 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 17:04:23,271] 29 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 17:04:23,369] 32 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 17:04:23,408] 40 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 17:04:23,669] 55 utils.logging - INFO - \u2705 Evaluation complete.
