[2025-08-01 14:27:12,233] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-01 14:27:14,564] 16 utils.logging - INFO - saving raw data...
[2025-08-01 14:27:14,705] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-01 14:27:14,741] 23 utils.logging - INFO - saving train, test and validation
[2025-08-01 14:27:14,845] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-01 14:27:14,846] 80 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-01 14:27:14,846] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-01 14:27:14,915] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-01 14:27:14,926] 43 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-01 14:27:14,926] 92 utils.logging - INFO - Fitting and transforming training data...
[2025-08-01 14:27:14,964] 97 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-01 14:27:15,061] 119 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-01 14:27:15,061] 120 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-01 14:27:15,061] 23 utils.logging - INFO - Training model ....
[2025-08-01 14:27:15,061] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-01 14:27:15,112] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-01 14:27:47,045] 46 utils.logging - INFO - \u2705 RandomForestClassifier trained and logged to MLflow.
[2025-08-01 14:27:47,051] 26 utils.logging - INFO - Evaluating the model
[2025-08-01 14:27:47,051] 12 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-01 14:27:47,080] 17 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-01 14:27:47,098] 29 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-01 14:27:47,148] 33 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-01 14:27:47,206] 36 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-01 14:27:47,232] 44 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-01 14:27:47,633] 59 utils.logging - INFO - \u2705 Evaluation complete.
