[2025-08-02 12:09:49,377] 12 utils.logging - INFO - downloading data from kaggle...
[2025-08-02 12:09:51,281] 16 utils.logging - INFO - saving raw data...
[2025-08-02 12:09:51,387] 20 utils.logging - INFO - splitting into train, test and validation
[2025-08-02 12:09:51,392] 23 utils.logging - INFO - saving train,validation
[2025-08-02 12:09:51,499] 20 utils.logging - INFO - Running preprocessing pipeline...
[2025-08-02 12:09:51,503] 77 utils.logging - INFO - Starting preprocessing pipeline...
[2025-08-02 12:09:51,503] 22 utils.logging - INFO - Reading training data for imbalance handling...
[2025-08-02 12:09:51,552] 27 utils.logging - INFO - Handling imbalance using RandomOverSampler...
[2025-08-02 12:09:51,574] 45 utils.logging - INFO - Building preprocessor pipeline...
[2025-08-02 12:09:51,574] 89 utils.logging - INFO - Fitting and transforming training data...
[2025-08-02 12:09:51,600] 94 utils.logging - INFO - Fitted preprocessor saved at model/preprocessor.pkl
[2025-08-02 12:09:51,652] 109 utils.logging - INFO - Saved preprocessed X to data/processed/X_processed.csv
[2025-08-02 12:09:51,652] 110 utils.logging - INFO - Saved target y to data/processed/y.csv
[2025-08-02 12:09:51,653] 23 utils.logging - INFO - Training model ....
[2025-08-02 12:09:51,653] 19 utils.logging - INFO - \U0001f4e5 Loading training data...
[2025-08-02 12:09:51,703] 23 utils.logging - INFO - \U0001f680 Starting MLflow run...
[2025-08-02 12:10:19,707] 46 utils.logging - INFO - \u2705 LGBMClassifier trained and logged to MLflow.
[2025-08-02 12:10:19,712] 26 utils.logging - INFO - Evaluating the model
[2025-08-02 12:10:19,712] 14 utils.logging - INFO - \U0001f50d Loading validation data...
[2025-08-02 12:10:19,783] 19 utils.logging - INFO - \U0001f4e6 Loading preprocessor and transforming validation data...
[2025-08-02 12:10:19,819] 26 utils.logging - INFO - \U0001f4e5 Loading best model from MLflow...
[2025-08-02 12:10:20,158] 37 utils.logging - INFO - \U0001f916 Making predictions...
[2025-08-02 12:10:20,175] 40 utils.logging - INFO - \U0001f4c8 Computing evaluation metrics...
[2025-08-02 12:10:20,229] 48 utils.logging - INFO - \U0001f4e1 Logging metrics to MLflow...
[2025-08-02 12:10:20,522] 63 utils.logging - INFO - \u2705 Evaluation complete.
